Year,January,February,March,April,May,June,July,August,September,October,November,December
1995,103.80,103.40,100.20,101.00,101.80,100.80,100.00,100.30,100.50,100.10,100.10,100.30
1996,100.90,102.50,100.80,100.10,99.50,99.50,99.30,99.60,100.30,100.10,100.90,101.00
1997,100.80,101.80,99.50,99.40,99.50,100.10,100.20,100.10,100.60,100.30,100.30,101.00
1998,101.60,102.20,99.20,101.60,101.40,100.00,99.50,101.10,101.00,100.30,100.10,100.80
1999,101.70,101.90,99.30,99.40,99.60,99.70,99.60,99.60,99.40,99.00,100.40,100.50
2000,100.40,101.60,98.90,99.30,99.40,99.50,99.40,100.10,99.80,100.10,100.90,100.10
2001,100.30,100.40,99.30,99.50,99.80,100.00,99.80,100.00,100.50,100.00,100.20,101.00
2002,101.10,102.20,99.20,100.00,100.30,100.10,99.90,100.10,100.20,100.30,100.30,100.30
2003,100.90,102.20,99.40,100.00,99.90,99.70,99.70,99.90,100.10,99.80,100.60,100.80
2004,101.10,103.00,100.80,100.50,100.90,100.80,100.50,100.60,100.30,100.00,100.20,100.60
2005,101.10,102.50,100.10,100.60,100.50,100.40,100.40,100.40,100.80,100.40,100.40,100.80
2006,101.20,102.10,99.50,100.20,100.60,100.40,100.40,100.40,100.30,100.20,100.60,100.50
2007,101.10,102.20,99.80,100.50,100.80,100.90,100.90,100.60,100.50,100.70,101.20,102.90
2008,102.38,103.56,102.99,102.20,103.91,102.14,101.13,101.56,100.18,99.81,99.24,99.32
2009,100.32,101.17,99.83,100.35,100.44,100.55,100.52,100.24,100.62,100.37,100.55,101.38
2010,101.36,101.96,100.75,100.14,100.27,100.22,100.06,100.23,101.31,101.05,101.86,101.98
2011,101.74,102.09,102.17,103.32,102.21,101.09,101.17,100.93,100.82,100.36,100.39,100.53
2012,101.00,101.37,100.16,100.05,100.18,99.74,99.71,100.63,102.20,100.85,100.47,100.27
2013,101.25,101.32,99.81,100.02,99.94,100.05,100.27,100.83,101.06,100.49,100.34,100.51
2014,100.69,100.55,99.56,100.08,100.20,100.30,100.23,100.22,100.40,100.11,99.73,99.76
2015,99.80,99.95,100.15,100.14,100.16,100.35,100.13,99.93,99.79,100.11,100.07,100.02
2016,100.00,100.42,100.57,100.33,100.54,100.46,100.13,100.10,100.54,100.83,100.48,100.23
2017,100.46,100.23,100.21,100.00,99.47,99.83,100.11,100.92,100.59,100.41,100.13,100.21
2018,100.51,100.73,99.73,100.08,100.55,100.61,99.91,100.45,100.59,100.33,99.71,99.75
2019,100.10,100.80,99.79,100.31,100.49,99.91,100.18,100.28,100.32,100.59,100.96,101.40
2020,101.23,99.83,99.28,98.46,99.97,100.66,100.40,100.07,100.12,100.09,99.99,100.10
2021,100.06,101.52,99.73,99.96,100.16,100.19,100.62,100.25,99.38,99.80,100.32,99.82
2022,100.19,101.00,100.70,100.18,100.38,100.69,100.40,100.00,100.40,100.15,100.39,99.99
2023,100.52,100.45,99.77,99.66,100.01,100.27,100.45,100.88,101.08,100.08,100.25,100.12